rank,source,width,height,selector,palette_bank,refs,selected_index,selected_rgb555,entries,override_index,notes,location,exempt,flatten
40,0x5C140,128,56,0x0140,0x0640,24,4,0x3DCE,"{""0"":12,""1"":6,""2"":6}",,,,,
41,0x62A00,64,24,0x00F0,0x05F0,109,7,0x294A,"{""0"":96,""1"":8,""2"":5}",,,,,
42,0x69D00,64,16,0x00D0,0x05D0,141,5,0x40E5,"{""0"":6,""1"":93,""2"":42}",,,,,
43,0x52E20,128,16,0x00F0,0x05F0,70,E,0x6B5A,"{""0"":70}",,,,,
44,0x48320,64,24,0x0080,,88,1,0x1108,"{""0"":78,""1"":5,""2"":5}",,,,,
45,0x70F80,40,24,0x00B0,0x05B0,135,8,0x0926,"{""1"":94,""2"":41}",,,,,
46,0x725A0,96,24,0x0120,0x0620,54,5,0x6B5A,"{""1"":27,""2"":27}",,,,,
47,0x49620,128,16,0x00E0,0x05E0,60,E,0x318B,"{""0"":60}",,,,,
48,0x49A20,128,16,0x00E0,0x05E0,60,9,0x1CE6,"{""0"":60}",,,,,
49,0x49E20,128,16,0x00E0,0x05E0,60,B,0x2528,"{""0"":60}",,,,,
50,0x4A220,128,16,0x00E0,0x05E0,60,D,0x2D6A,"{""0"":60}",,,,,
51,0x4A620,128,16,0x00E0,0x05E0,60,E,0x318B,"{""0"":60}",,,,,
52,0x4BA20,128,16,0x00E0,0x05E0,60,E,0x318B,"{""0"":60}",,,,,
53,0x4E220,128,16,0x00E0,0x05E0,60,D,0x2D6A,"{""0"":60}",,,,,
54,0x4E620,128,16,0x00E0,0x05E0,60,9,0x1CE6,"{""0"":60}",,,,,
55,0x4EA20,128,16,0x00E0,0x05E0,60,9,0x1CE6,"{""0"":60}",,,,,
56,0x4EE20,128,16,0x00E0,0x05E0,60,C,0x2949,"{""0"":60}",,,,,
57,0x4F220,128,16,0x00E0,0x05E0,60,C,0x2949,"{""0"":60}",,,,,
58,0x50620,128,16,0x00E0,0x05E0,60,D,0x2D6A,"{""0"":60}",,,,,
59,0x48620,128,16,0x00E0,0x05E0,59,9,0x1CE6,"{""0"":59}",,,,,
60,0x49220,128,16,0x00E0,0x05E0,59,C,0x2949,"{""0"":59}",,,,,
61,0x4AA20,128,16,0x00E0,0x05E0,59,9,0x1CE6,"{""0"":59}",,,,,
62,0x4B220,128,16,0x00E0,0x05E0,59,A,0x2107,"{""0"":59}",,,,,
63,0x4BE20,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
64,0x4C220,128,16,0x00E0,0x05E0,59,7,0x14A4,"{""0"":59}",,,,,
65,0x4C620,128,16,0x00E0,0x05E0,59,A,0x2107,"{""0"":59}",,,,,
66,0x4CA20,128,16,0x00E0,0x05E0,59,C,0x2949,"{""0"":59}",,,,,
67,0x4CE20,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
68,0x4DA20,128,16,0x00E0,0x05E0,59,7,0x14A4,"{""0"":59}",,,,,
69,0x4DE20,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
70,0x4F620,128,16,0x00E0,0x05E0,59,9,0x1CE6,"{""0"":59}",,,,,
71,0x4FE20,128,16,0x00E0,0x05E0,59,9,0x1CE6,"{""0"":59}",,,,,
72,0x50A20,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
73,0x50E20,128,16,0x00E0,0x05E0,59,8,0x18C5,"{""0"":59}",,,,,
74,0x51220,128,16,0x00E0,0x05E0,59,9,0x1CE6,"{""0"":59}",,,,,
75,0x51620,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
76,0x51A20,128,16,0x00E0,0x05E0,59,C,0x2949,"{""0"":59}",,,,,
77,0x52A20,128,16,0x00E0,0x05E0,59,C,0x2949,"{""0"":59}",,,,,
78,0x53220,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
79,0x53620,128,16,0x00E0,0x05E0,59,A,0x2107,"{""0"":59}",,,,,
80,0x53A20,128,16,0x00E0,0x05E0,59,8,0x18C5,"{""0"":59}",,,,,
81,0x53E20,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
82,0x54220,128,16,0x00E0,0x05E0,59,D,0x2D6A,"{""0"":59}",,,,,
83,0x7E9A0,32,64,0x0070,,59,C,0x0505,"{""2"":59}",,,,,
84,0x48A20,128,16,0x00E0,0x05E0,58,9,0x1CE6,"{""0"":58}",,,,,
85,0x4D220,128,16,0x00E0,0x05E0,58,7,0x14A4,"{""0"":58}",,,,,
86,0x51E20,128,16,0x00E0,0x05E0,58,8,0x18C5,"{""0"":58}",,,,,
87,0x52220,128,16,0x00E0,0x05E0,58,9,0x1CE6,"{""0"":58}",,,,,
88,0x71DE0,80,24,0x0080,0x0580,58,D,0x4294,"{""1"":38,""2"":20}",,,,,
89,0x7D660,64,64,0x0110,0x0610,27,6,0x30E4,"{""2"":27}",,,,,
90,0x56340,64,64,0x0130,0x0630,26,3,0x0484,"{""0"":10,""1"":8,""2"":8}",,,,,
91,0x55520,56,56,0x0140,,32,5,0x2907,"{""0"":18,""1"":10,""2"":4}",,,,,
92,0x47F20,32,32,0x0100,,90,F,0x4719,"{""0"":32,""1"":29,""2"":29}",,,,,
93,0x7AF20,32,16,0x00C0,0x05C0,178,7,0x112A,"{""1"":124,""2"":54}",,,,,
94,0x721A0,64,32,0x0160,0x0660,43,D,0x6B5A,"{""1"":35,""2"":8}",,,,,
95,0x65E80,80,64,0x0150,0x0650,15,5,0x1D4A,"{""0"":12,""1"":2,""2"":1}",,,,,
96,0x6EA80,128,48,0x0090,,12,A,0x3E31,"{""0"":6,""1"":6}",,,,,
97,0x6F680,96,40,0x0050,,18,4,0x02D5,"{""0"":6,""1"":6,""2"":6}",,,,,
98,0x71360,64,24,0x0080,0x0580,44,1,0x1108,"{""1"":22,""2"":22}",,,,,
99,0x70E00,32,24,0x00A0,0x05A0,79,3,0x3DEF,"{""1"":53,""2"":26}",,,,,
100,0x65000,56,64,0x0150,0x0650,16,4,0x1508,"{""0"":12,""1"":2,""2"":2}",,,,,
101,0x6E200,32,64,0x0100,,27,3,0x25AE,"{""0"":9,""1"":9,""2"":9}",,,,,
102,0x69280,24,32,0x0170,,64,7,0x2D28,"{""0"":32,""1"":16,""2"":16}",,,,,
103,0x7C420,48,24,0x00C0,,37,5,0x08E8,"{""1"":25,""2"":12}",,,,,
104,0x6C180,128,32,0x0010,,9,7,0x006B,"{""0"":3,""1"":3,""2"":3}",,,,,
105,0x6DE00,128,16,0x00E0,,18,7,0x14A4,"{""0"":12,""1"":6}",,,,,
106,0x64700,64,32,0x00F0,0x05F0,14,2,0x0842,"{""0"":8,""1"":4,""2"":2}",,,,,
107,0x70B80,32,16,0x00D0,,50,F,0x637B,"{""1"":49,""2"":1}",,,,,
108,0x6DA00,128,16,0x00E0,,12,A,0x2107,"{""0"":12}",,,,,
109,0x71160,64,16,0x00F0,0x05F0,23,7,0x294A,"{""1"":18,""2"":5}",,,,,
110,0x62580,24,32,0x0140,0x0640,30,8,0x396A,"{""0"":20,""1"":6,""2"":4}",,,,,
111,0x62D00,32,56,0x0130,0x0630,12,5,0x0CC6,"{""0"":6,""1"":3,""2"":3}",,,,,
